"\",\"Y","predictedY","Pearson Correlation","rounded Correlation"
"1",1919.91837,2399.56268891856,0.968038926136935,0.968
"2",1778.205196,1614.9220643103,0.968038926136935,0.968
"3",3618.807544,3512.3086970138,0.968038926136935,0.968
"4",881.803115,1362.97561254517,0.968038926136935,0.968
"5",1126.987068,647.553671738441,0.968038926136935,0.968
"6",1436.843816,1917.62787116732,0.968038926136935,0.968
"7",864.1732623,1344.43028046772,0.968038926136935,0.968
"8",950.7378799,1431.07965817761,0.968038926136935,0.968
"9",1073.428439,1553.33468963965,0.968038926136935,0.968
"10",1748.353522,2228.84421035809,0.968038926136935,0.968
"11",692.7487906,1172.38083694822,0.968038926136935,0.968
"12",11504.36736,11024.7666352328,0.968038926136935,0.968
"13",8257.169142,7776.89981765892,0.968038926136935,0.968
"14",2136.519147,1656.59229088544,0.968038926136935,0.968
"15",4390.837772,3910.81334290779,0.968038926136935,0.968
"16",7598.359202,7118.92615258213,0.968038926136935,0.968
"17",1404.246745,1884.64380884393,0.968038926136935,0.968
"18",2356.598707,2837.01043731954,0.968038926136935,0.968
"19",2258.01783,2738.94546511298,0.968038926136935,0.968
"20",1370.698309,1851.01684988426,0.968038926136935,0.968
"21",4022.950813,3649.89425126636,0.968038926136935,0.968
"22",1231.472858,1712.47901908882,0.968038926136935,0.968
"23",1662.78028,1448.56422685388,0.968038926136935,0.968
"24",1014.636614,1494.1953424462,0.968038926136935,0.968
"25",2343.121654,2822.5488769806,0.968038926136935,0.968
"26",213.5131726,695.083421708149,0.968038926136935,0.968
"27",286.3565868,766.359551411904,0.968038926136935,0.968
"28",1357.625886,1838.55454533744,0.968038926136935,0.968
"29",750.9258866,1231.57283811255,0.968038926136935,0.968
"30",5420.807862,4941.18678479175,0.968038926136935,0.968
"31",3577.425157,3098.12090027784,0.968038926136935,0.968
"32",2155.580797,2625.50960472907,0.968038926136935,0.968
"33",2223.509731,2705.0464032094,0.968038926136935,0.968
"34",1126.11092,1606.65027653143,0.968038926136935,0.968
"35",613.9936483,410.239767870311,0.968038926136935,0.968
