"\",\"Y","predictedY","Pearson Correlation","rounded Correlation"
"1",1148.432534,1148.63468920538,0.999999895780107,1
"2",1577.991266,1578.34282759994,0.999999895780107,1
"3",939.5533036,939.804207498658,0.999999895780107,1
"4",2622.415449,2622.36359797256,0.999999895780107,1
"5",708.9038954,708.783383326506,0.999999895780107,1
"6",3722.277034,3722.60659735748,0.999999895780107,1
"7",1251.031181,1250.90491324141,0.999999895780107,1
"8",2058.587192,2059.41923517242,0.999999895780107,1
"9",2667.495421,2667.97959270352,0.999999895780107,1
"10",196.9080838,197.187647528557,0.999999895780107,1
"11",1069.981592,1069.968552162,0.999999895780107,1
"12",5034.534056,5034.45748835014,0.999999895780107,1
"13",1106.873895,1107.14839651197,0.999999895780107,1
"14",2132.000875,2130.76758376089,0.999999895780107,1
"15",1367.761758,1367.9567584351,0.999999895780107,1
"16",771.4485043,770.177473882701,0.999999895780107,1
"17",1787.074063,1786.36599527261,0.999999895780107,1
"18",1226.721158,1227.16062229967,0.999999895780107,1
"19",5129.068446,5128.04391042715,0.999999895780107,1
"20",1494.295122,1494.31895811443,0.999999895780107,1
"21",1827.359204,1827.80163955604,0.999999895780107,1
"22",1224.159865,1224.89629621733,0.999999895780107,1
"23",508.8447111,507.78023092101,0.999999895780107,1
"24",797.6893247,797.806466061913,0.999999895780107,1
"25",3474.360732,3474.22345558074,0.999999895780107,1
"26",3718.601542,3717.18554230915,0.999999895780107,1
"27",4586.063481,4585.66495046,0.999999895780107,1
"28",1289.595016,1288.28653577112,0.999999895780107,1
"29",3988.233574,3986.96968679952,0.999999895780107,1
"30",1327.737823,1328.74649476705,0.999999895780107,1
"31",372.8736092,373.220126515418,0.999999895780107,1
"32",717.9277328,718.892879430325,0.999999895780107,1
"33",390.9729694,389.641549599028,0.999999895780107,1
"34",220.5310958,221.502417516262,0.999999895780107,1
"35",2414.64371,2415.74691166831,0.999999895780107,1
"36",3860.205139,3858.85876219266,0.999999895780107,1
"37",3629.396036,3630.13018509078,0.999999895780107,1
"38",4890.132853,4888.90401079734,0.999999895780107,1
"39",1083.661232,1084.83604948756,0.999999895780107,1
"40",5442.04966,5441.16980683477,0.999999895780107,1
"41",286.9932995,288.091461220608,0.999999895780107,1
"42",1952.33236,1951.09259793643,0.999999895780107,1
"43",5119.266732,5118.0931141551,0.999999895780107,1
"44",643.0780178,644.131737817482,0.999999895780107,1
"45",943.8103,942.380802241728,0.999999895780107,1
"46",571.2141853,572.456242087958,0.999999895780107,1
"47",824.9577237,826.178332254118,0.999999895780107,1
"48",2198.798256,2198.84910381457,0.999999895780107,1
"49",844.0504798,844.402834605919,0.999999895780107,1
"50",2896.545116,2897.82802489101,0.999999895780107,1
"51",1037.176992,1037.66693917293,0.999999895780107,1
"52",3774.165992,3775.29911157321,0.999999895780107,1
"53",8045.200517,8044.57369091873,0.999999895780107,1
"54",11577.86801,11576.615146796,0.999999895780107,1
"55",5684.863396,5683.65055749083,0.999999895780107,1
"56",2550.757818,2551.83835565506,0.999999895780107,1
"57",1355.201796,1354.62882067136,0.999999895780107,1
"58",3552.527911,3551.16980614631,0.999999895780107,1
"59",2473.653761,2474.55034313868,0.999999895780107,1
"60",2973.185006,2974.20676337571,0.999999895780107,1
"61",1334.033649,1334.9854590761,0.999999895780107,1
"62",898.4771128,897.455078575801,0.999999895780107,1
"63",775.4204318,775.375568001946,0.999999895780107,1
"64",902.5808079,903.856986846381,0.999999895780107,1
"65",1016.274909,1015.35657421183,0.999999895780107,1
"66",1161.5195,1162.57812298581,0.999999895780107,1
"67",2290.335004,2291.48885020275,0.999999895780107,1
"68",2591.68114,2591.35134424363,0.999999895780107,1
"69",5766.912791,5765.81867319891,0.999999895780107,1
"70",2567.923014,2568.1768626968,0.999999895780107,1
"71",967.6442164,968.684687687887,0.999999895780107,1
"72",2746.408005,2745.51979235888,0.999999895780107,1
"73",4685.962105,4684.76630695676,0.999999895780107,1
"74",5395.230202,5394.02585124147,0.999999895780107,1
"75",877.7383843,879.068674860482,0.999999895780107,1
"76",6077.241547,6076.11729216963,0.999999895780107,1
"77",626.8222774,627.918904636446,0.999999895780107,1
"78",3128.03059,3126.82062853813,0.999999895780107,1
"79",1444.687433,1445.77294747034,0.999999895780107,1
"80",476.0040752,475.051428527227,0.999999895780107,1
"81",805.5706508,806.683093818287,0.999999895780107,1
"82",2923.587005,2922.18846414564,0.999999895780107,1
"83",495.6461337,494.386949497562,0.999999895780107,1
"84",1738.563041,1739.72790065633,0.999999895780107,1
"85",761.3777126,762.438204683525,0.999999895780107,1
"86",2384.966549,2383.78893531018,0.999999895780107,1
"87",1310.013912,1311.23370464457,0.999999895780107,1
"88",1778.510878,1779.64280892071,0.999999895780107,1
"89",2947.771722,2948.8948052562,0.999999895780107,1
"90",6559.582454,6558.20651516589,0.999999895780107,1
"91",2633.582703,2632.32118662526,0.999999895780107,1
"92",838.7169684,839.917972586215,0.999999895780107,1
"93",602.1343923,603.25795574876,0.999999895780107,1
"94",953.3203322,954.515526603494,0.999999895780107,1
"95",1182.480524,1181.22016715711,0.999999895780107,1
"96",4645.541518,4644.39895610217,0.999999895780107,1
"97",2163.541863,2164.54649027782,0.999999895780107,1
"98",1518.854401,1519.40422586082,0.999999895780107,1
"99",323.7992965,325.073188281006,0.999999895780107,1
"100",3245.701159,3244.53128481698,0.999999895780107,1
"101",429.3335676,430.738391544742,0.999999895780107,1
