"\",\"Y","predictedY","Pearson Correlation","rounded Correlation"
"1",-0.567952468785709,-0.395038283748548,0.946676702126512,0.947
"2",-0.929787531506813,-0.757026847647555,0.946676702126512,0.947
"3",-0.346480549379072,-0.173960258214412,0.946676702126512,0.947
"4",-0.675646436186817,-0.794645666344377,0.946676702126512,0.947
"5",-0.956439589580347,-0.784053638001471,0.946676702126512,0.947
"6",0.192003739851297,0.0198645216238729,0.946676702126512,0.947
"7",0.153119687372298,-0.0194191069651745,0.946676702126512,0.947
"8",0.759070448465141,0.586962893249818,0.946676702126512,0.947
"9",-0.515054651591263,-0.687190794936424,0.946676702126512,0.947
"10",-0.0986948701201295,-0.27123210113375,0.946676702126512,0.947
"11",0.215246074791511,0.0426528296586385,0.946676702126512,0.947
"12",-0.985192796923013,-0.367819366279837,0.946676702126512,0.947
"13",-1.05853950764525,-0.885616256675309,0.946676702126512,0.947
"14",-0.608400210641877,-0.781380242375057,0.946676702126512,0.947
"15",1.43564401051108,1.26353213440092,0.946676702126512,0.947
"16",-0.589379274625283,-0.416529395236845,0.946676702126512,0.947
"17",-0.060844238591772,-0.233386069497193,0.946676702126512,0.947
"18",-0.726979962115925,-0.554818509026606,0.946676702126512,0.947
"19",-0.751539477962393,-0.578858672441875,0.946676702126512,0.947
"20",-0.715738853769677,-0.543619627086139,0.946676702126512,0.947
"21",-0.454870692994341,-0.627029939450816,0.946676702126512,0.947
"22",-0.762317919709211,-0.589535963940559,0.946676702126512,0.947
"23",-0.238681627096896,-0.0659050699680079,0.946676702126512,0.947
"24",1.48438405754902,1.31237391573169,0.946676702126512,0.947
"25",-0.38963261282872,-0.531520953984948,0.946676702126512,0.947
"26",-0.217911411440246,-0.0450692088777062,0.946676702126512,0.947
"27",-0.897711200745964,-0.725577257681231,0.946676702126512,0.947
"28",-0.7487886757948,-0.576181011376034,0.946676702126512,0.947
"29",0.63124974511104,0.459027991371775,0.946676702126512,0.947
"30",0.757175438057102,0.584624586621532,0.946676702126512,0.947
"31",-0.697031085055154,-0.241661728227168,0.946676702126512,0.947
"32",-0.758994474105045,-0.586064452753393,0.946676702126512,0.947
"33",1.20442152184183,1.03203768197472,0.946676702126512,0.947
"34",0.896192338918407,0.723639993794401,0.946676702126512,0.947
"35",-0.475506236044265,-0.303276172525874,0.946676702126512,0.947
"36",-0.967815190441205,-0.795296660535909,0.946676702126512,0.947
"37",-0.789912162612947,-0.617345673836237,0.946676702126512,0.947
"38",-1.07212098662601,-1.2445687583504,0.946676702126512,0.947
"39",-0.958483521114259,-0.78601713645037,0.946676702126512,0.947
