\,"\""B cells naive""",B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,Pearson Correlation,P-value,RMSE
Mix1,0.1,0.08,0,0.08,0.04,0.08,0.18,0.09,0.09,0.07,0.01,0.05,0,0,0,0,0.06,0,0,0.02,0.04,0,0.468,0.028,0.052353692
Mix2,0.1,0.1,0.02,0.05,0.06,0.05,0.18,0.05,0.05,0.05,0.04,0.06,0.02,0,0,0.01,0.02,0,0,0.05,0.05,0.02,0.31,0.161,0.065261711
Mix3,0.04,0,0,0.12,0.01,0.04,0.11,0.2,0.2,0.13,0,0,0,0,0,0,0.01,0,0.05,0.07,0,0,0.032,0.887,0.080903983
Mix4,0.17,0.16,0.04,0.07,0,0.04,0.09,0.03,0.03,0.08,0.05,0.06,0.01,0,0,0,0.04,0,0.02,0.12,0,0,0.395,0.068,0.057721904
Mix5,0.13,0.13,0.01,0.06,0.02,0.02,0.04,0.08,0,0.04,0.06,0.05,0,0,0,0,0.02,0,0.12,0.21,0,0,-0.275,0.216,0.085652575
