"\",\"Y","predictedY","Pearson Correlation","rounded Correlation"
"1",252.113904,196.208991365076,0.696787845299936,0.697
"2",38.87224333,197.343915191459,0.696787845299936,0.697
"3",52.35218819,276.820682833473,0.696787845299936,0.697
"4",107.0303332,331.580216599154,0.696787845299936,0.697
"5",106.405051,-117.760597822865,0.696787845299936,0.697
"6",622.0653007,442.813204778101,0.696787845299936,0.697
"7",32.11292959,-192.330218858732,0.696787845299936,0.697
"8",1045.560791,375.002253825372,0.696787845299936,0.697
"9",599.6649853,380.397440658511,0.696787845299936,0.697
"10",351.7709226,127.385164527988,0.696787845299936,0.697
"11",81.86170488,306.287680611403,0.696787845299936,0.697
"12",553.2825186,329.021366857152,0.696787845299936,0.697
"13",437.1365868,661.567252487773,0.696787845299936,0.697
"14",1343.275901,215.789764259205,0.696787845299936,0.697
"15",16.76214805,237.07409080173,0.696787845299936,0.697
"16",819.6563077,595.359287007908,0.696787845299936,0.697
"17",502.2026388,726.670022746862,0.696787845299936,0.697
"18",62.08556195,286.672975217189,0.696787845299936,0.697
"19",390.4561914,165.665350822371,0.696787845299936,0.697
"20",175.4580246,283.753408059563,0.696787845299936,0.697
"21",1739.537757,1514.79858992846,0.696787845299936,0.697
"22",884.0795293,659.200796555347,0.696787845299936,0.697
"23",30.88063263,189.201217986214,0.696787845299936,0.697
"24",137.7601396,449.604928075646,0.696787845299936,0.697
"25",44.59229959,268.971444328749,0.696787845299936,0.697
"26",41.43954283,266.269932647979,0.696787845299936,0.697
"27",46.69000774,271.103441378102,0.696787845299936,0.697
"28",62.19490366,229.468066242171,0.696787845299936,0.697
"29",1019.024505,319.198687310767,0.696787845299936,0.697
"30",123.3363689,347.971215883014,0.696787845299936,0.697
"31",30.13786661,254.941890920422,0.696787845299936,0.697
"32",50.18604442,274.266908278853,0.696787845299936,0.697
"33",1347.014601,1572.14600139676,0.696787845299936,0.697
"34",2869.121643,2644.58745821652,0.696787845299936,0.697
"35",35.86972543,275.039658802118,0.696787845299936,0.697
"36",1955.123937,268.213290345187,0.696787845299936,0.697
"37",536.6568716,298.909917915512,0.696787845299936,0.697
"38",343.2918165,118.741439283649,0.696787845299936,0.697
"39",225.6651572,0.959089818067127,0.696787845299936,0.697
"40",29.00228443,253.583854560116,0.696787845299936,0.697
"41",310.2601897,85.8899878952207,0.696787845299936,0.697
"42",1067.363243,606.974535461637,0.696787845299936,0.697
"43",879.5536506,654.680698633205,0.696787845299936,0.697
"44",178.594415,261.660175211315,0.696787845299936,0.697
"45",43.35387769,466.178224807894,0.696787845299936,0.697
"46",795.8227236,194.985590433084,0.696787845299936,0.697
"47",18.73612196,265.66291922505,0.696787845299936,0.697
"48",96.8462346,267.926006431598,0.696787845299936,0.697
"49",17.00293227,-207.476488153114,0.696787845299936,0.697
"50",506.1868105,730.640331945363,0.696787845299936,0.697
"51",174.1278073,211.588236442646,0.696787845299936,0.697
"52",285.5756566,300.254393167873,0.696787845299936,0.697
"53",184.8956726,-39.6824935734846,0.696787845299936,0.697
"54",18.5803767,259.254934323428,0.696787845299936,0.697
"55",28.58469526,230.90244178435,0.696787845299936,0.697
"56",97.39312771,322.07926502384,0.696787845299936,0.697
"57",28.73174838,253.385256913109,0.696787845299936,0.697
"58",10.66845815,234.893803557411,0.696787845299936,0.697
"59",12.08380474,236.580814518479,0.696787845299936,0.697
"60",184.8185735,-39.2695763671135,0.696787845299936,0.697
"61",118.2696605,342.302787721657,0.696787845299936,0.697
"62",80.62621011,305.328129940624,0.696787845299936,0.697
"63",199.5844181,424.471617547088,0.696787845299936,0.697
"64",430.5917682,655.667147490029,0.696787845299936,0.697
"65",135.9032517,360.875155391878,0.696787845299936,0.697
"66",91.89634803,316.272915578623,0.696787845299936,0.697
"67",89.39675527,259.863672624887,0.696787845299936,0.697
"68",2974.398205,2749.84942696894,0.696787845299936,0.697
"69",2976.357645,2751.63141814896,0.696787845299936,0.697
"70",62.01103475,164.906934631762,0.696787845299936,0.697
"71",173.2680963,-50.9335666548175,0.696787845299936,0.697
"72",771.2669601,546.131689203009,0.696787845299936,0.697
"73",182.0091989,406.464745589374,0.696787845299936,0.697
"74",547.8118106,358.506339544075,0.696787845299936,0.697
"75",71.53580204,295.776013787843,0.696787845299936,0.697
"76",422.0808765,197.890517782936,0.696787845299936,0.697
"77",209.3297687,215.514931369099,0.696787845299936,0.697
"78",3297.292647,3073.25504899787,0.696787845299936,0.697
"79",475.5632652,699.900948226862,0.696787845299936,0.697
"80",844.0944404,619.78590425558,0.696787845299936,0.697
"81",2458.790345,2234.02189178744,0.696787845299936,0.697
"82",535.6130974,311.157221371589,0.696787845299936,0.697
"83",386.3737146,422.370399890859,0.696787845299936,0.697
"84",749.6475138,974.109128184405,0.696787845299936,0.697
"85",188.1599894,-36.0210668358776,0.696787845299936,0.697
"86",54.6042604,808.990966825008,0.696787845299936,0.697
"87",4491.010824,4266.44541919586,0.696787845299936,0.697
"88",79.30921482,303.808174396507,0.696787845299936,0.697
"89",910.7602335,1135.75370814817,0.696787845299936,0.697
"90",234.7427509,421.583478756076,0.696787845299936,0.697
"91",3328.45929,3103.87267501248,0.696787845299936,0.697
"92",3602.59341,973.770800163998,0.696787845299936,0.697
"93",537.5111994,313.222221434393,0.696787845299936,0.697
"94",485.1559847,709.34285973572,0.696787845299936,0.697
"95",51.26895806,275.615584031339,0.696787845299936,0.697
"96",6075.778917,5851.30958665398,0.696787845299936,0.697
"97",2058.771164,1834.25227320401,0.696787845299936,0.697
"98",6123.141026,5898.65059054359,0.696787845299936,0.697
"99",2507.458221,2282.25288511498,0.696787845299936,0.697
"100",1153.619336,632.431293329242,0.696787845299936,0.697
"101",1307.604965,1082.78998136856,0.696787845299936,0.697
"102",829.716493,1054.73284163576,0.696787845299936,0.697
"103",244.1168979,468.722970397169,0.696787845299936,0.697
"104",809.510771,1034.42071769537,0.696787845299936,0.697
"105",916.6449059,1141.5767647065,0.696787845299936,0.697
"106",81.35423236,305.495829451698,0.696787845299936,0.697
"107",4169.868928,201.883464753053,0.696787845299936,0.697
"108",1133.688983,1358.26948150773,0.696787845299936,0.697
"109",420.4191729,644.81146571753,0.696787845299936,0.697
"110",301.7703632,526.436010702813,0.696787845299936,0.697
