"","GeneSymbol","Mix1","Mix2","Mix3","Mix4","Mix5","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","X"
"1","ACP5",1045.560791,1250.323739,1919.91837,1148.432534,3095.048627,605.8973843,1935.201479,1120.104684,306.3125193,744.6565995,557.8198203,248.5469318,711.9497439,958.9160181,493.96912,340.8201368,239.2770679,512.9313823,13644.1723,1062.475909,7633.960182,13825.05363,3989.865169,263.4979304,323.3812772,860.5633739,307.1427978,16445062.51
"2","ADAMDEC1",351.7709226,507.6668018,1011.75353,446.630648,1824.456385,371.0335929,318.478799,127.9674477,44.61628687,80.9645004,47.43351387,30.55297649,68.73789331,156.7076551,231.8272543,68.27758592,48.39924584,106.301336,4464.262133,8524.022801,5004.969419,164.8412494,1784.613941,730.1921708,1569.761722,175.1699108,185.5059228,4639552.337
"3","AIF1",437.1365868,822.083209,1778.205196,1577.991266,3444.281038,24.0742984,20.32185897,21.96957308,742.8158187,718.6147868,35.1722477,39.50876033,19.07768435,29.36703511,1086.959659,105.7345527,23.17042572,8655.680002,1841.269508,1611.228571,11610.29035,3285.640815,26.9238589,1851.124125,1672.630327,51.17646344,6260.640469,9639551.6
"4","APOBEC3G",1739.537757,1557.442405,3618.807544,939.5533036,1039.109981,1283.451966,1135.293933,2034.562362,2090.85254,336.6456997,2340.674986,1540.772502,386.0535874,979.7203756,5415.054458,6314.770723,8895.302228,865.7405246,278.7681406,1036.993881,258.3004281,203.4477818,1393.358139,627.1314036,327.1943796,306.3062145,464.4412542,5056324.949
"5","APOL3",884.0795293,1161.822176,1390.973673,394.9373033,1323.166073,222.6275107,530.3981335,754.8680347,1209.122376,950.7902718,1615.032254,1119.486881,351.1290483,993.4624966,1173.270474,1172.693097,1002.837652,1000.826958,238.5980956,11009.29392,437.5272083,219.6004846,861.4587391,264.675663,98.21606371,107.8051428,106.4245095,5044062.322
"6","AQP9",137.7601396,358.8970485,881.803115,2622.415449,3763.160679,21.34280658,15.11459289,15.66433549,13.67548268,14.1921014,14.8941249,13.11596785,18.66670647,64.26406026,188.8727485,93.46925864,12.57775597,2044.034835,4583.500675,4309.341662,399.4746192,1132.650087,1454.899429,576.553304,1876.266127,128.8196425,13705.68672,9345232.502
"7","BANK1",2869.121643,1579.737722,38.59314444,2546.997381,173.3878292,7633.960182,9177.359918,108.7748971,27.08870144,39.56449682,35.51276327,4.929861418,18.99250539,33.46526866,55.75942073,33.00482498,37.1948578,86.58724759,7.014183016,16.02027146,29.19263501,49.22937803,19.41137259,79.8154876,92.53939613,993.0314299,39.18510516,6084881.543
"8","BCL2A1",536.6568716,982.4683692,1436.843816,3722.277034,5164.021313,112.6417383,314.019133,76.39326014,575.0352025,452.9144897,755.8584033,1206.5058,698.6513948,171.062582,431.9749142,539.9592883,526.5774707,2261.391134,5560.455558,7038.536622,195.959802,135.5924775,5551.253657,869.1471248,3291.227822,13257.93204,8790.33201,12297397.37
"9","BIRC3",1067.363243,1211.281268,864.1732623,1251.031181,1288.861885,1762.323129,1072.239215,363.8164437,370.9307246,677.9807091,1121.424012,2888.707681,402.5623243,2449.370773,238.9246256,283.6871924,1173.96483,159.952492,230.7650134,1971.112539,237.5017836,442.7298273,10553.57544,71.25617244,1951.560424,1582.230325,132.8542597,4900164.674
"10","C3AR1",285.5756566,761.1002142,950.7378799,2058.587192,2907.443338,131.0995558,97.68302989,235.8730787,218.067024,100.57262,198.3433582,109.0856459,110.3968405,521.2960334,667.738611,753.7180287,473.1714371,1337.368233,799.6447121,4247.947251,2754.457112,879.0878468,259.2776033,4587.545998,4865.330497,9437.290602,746.04456,5421108.606
"11","C5AR1",184.8956726,397.7411839,1073.428439,2667.495421,3673.442368,92.39233333,64.88366132,25.374709,71.29814039,39.1758312,24.57422621,23.7998802,27.36083709,42.31424562,422.4027943,335.1748215,170.9594157,4237.561451,4989.998907,262.8037637,1920.668117,1195.953955,889.9578222,536.888673,756.9007984,2647.728393,12587.17469,8132008.071
"12","CCL18",199.5844181,161.7359153,741.4999988,339.1686473,1922.812838,19.93877192,21.68816978,56.60919591,35.31761702,24.35123147,12.82579482,81.202364,31.27670734,20.56828687,109.4946381,39.1384328,79.51319871,40.68134871,2820.01871,1252.527933,12334.37123,1697.959294,1749.786143,423.1104795,930.7824996,47.81945962,49.52876721,6996707.632
"13","CCL19",430.5917682,1412.785208,1748.353522,196.9080838,3179.596326,78.52160611,139.7443318,258.1016824,77.62297831,36.87140683,60.92923205,89.77834495,48.98562369,34.99339888,21.17848138,109.9231796,146.4600699,115.5525527,114.3667988,32553.88074,137.0742038,170.8471166,3048.871233,38.04867174,19.15243809,152.8012995,117.2636391,47864311.51
