"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"1",4.94432029558038,6.19853988800899,4.57017323147402,0.15691752168782,-0.336287470095786,-0.517776698638561,-0.404375669189434,-0.375547510844025,-0.36697726848624,-0.198542270907487,-0.483128640584857,-0.453708149105888,-0.348396282657624,-0.319019390077549,-0.457079060162877,-0.40095887380361,-0.441643110718197,-0.443338900317923,-0.317042267684785,-0.365729674438602,-0.163343269947319,-0.480387145428835
"2",-0.187919380914584,-0.305796922683566,-0.272029969432343,0.0140959755557609,-0.393578724738679,-0.401874553982839,3.45222248026196,-0.368737297167741,-0.33463466505679,1.20701893525807,1.54513591770069,5.23821361751754,0.336923461933811,0.0968624400482661,1.0929209477722,0.500674857381276,0.14416893025177,0.392016397674762,-0.103105936769408,5.56482704247012,1.15063783072597,-0.0329532177310101
"3",0.81266120262901,1.49391664653275,5.41607908535867,-0.614543506931091,-0.459938469728308,-0.517443885899655,-0.394487350262918,-0.44632955769798,-0.317060399433705,-0.653589178293861,-0.537366782438864,-0.462332388672699,-0.411754971711299,-0.326089249851646,-0.46748396239229,-0.421830749902708,-0.413972579697718,-0.460014088002757,-0.330162989119554,-0.383744258661032,-0.410762287526588,-0.486777265756616
"4",-0.454063506202116,-0.400672265891508,-0.265322459322557,-0.595940517854026,-0.37028954751696,-0.415437491577414,-0.33829671509109,-0.351504059940972,-0.355694352040558,-0.585518987852234,-0.415281735650569,-0.429880682818991,-0.343961705387798,8.23105936580171,-0.125497782652228,4.52469541361612,0.469887858672094,0.10738993630347,-0.0910954400318947,1.74042877786172,-0.277255784874601,0.622406873709757
"5",-0.300446105852667,-0.310826291966287,-0.292897405571399,-0.572067337102238,-0.453284059049226,-0.447316511192119,-0.376851952422195,-0.337162992892791,-0.447560853138549,-0.602666057978725,-0.456864976639105,-0.42583267738909,-0.290777627202743,-0.257416921308041,-0.439387967265059,-0.341832463597516,-0.344288718370418,-0.407631915973837,5.35171734586866,4.56972438598491,-0.209053330107521,-0.320793493833764
"6",3.8971223400381,2.6623112619645,3.86814078513764,-0.575897543562329,-0.452347201270244,-0.48417559447693,-0.337568750516784,0.0771382212263945,-0.306539054190034,-0.610888844136266,-0.513342108680021,-0.451765166197966,-0.397193374712547,-0.329131890108879,-0.484126436855194,-0.444797898418345,-0.447410554494052,-0.480805570849134,-0.323397554637724,-0.386174396213243,-0.229389240177554,-0.484208710186525
"7",-0.402014762937721,-0.389601418096625,-0.277298782448365,-0.639087957253059,-0.444336901091704,-0.485742115908195,-0.337955953570831,-0.422686232047412,-0.415010118453541,-0.612050501528079,-0.508752737076487,-0.384982804979732,-0.361931682833775,-0.299127585815545,4.69329357184467,-0.392271185131999,-0.407860959922732,0.11131887293597,-0.312309218762033,-0.376377411626323,-0.383416103813559,-0.430915652493373
"8",-0.481630777737528,-0.434251822164187,-0.284650567499097,1.51903612390133,-0.242170744019909,0.0845466703876731,0.0187727832529576,-0.217446932740478,-0.0447065947213241,2.81037598031416,4.33473212843833,3.51117011822932,-0.393181539056445,-0.316678545618912,-0.48113817935567,-0.445819598215198,-0.440570076053335,-0.467910773726749,-0.266155845759297,-0.345110091570606,-0.365500547893404,-0.427487364797811
"9",-0.363977842349078,-0.342014927121268,-0.25544027703164,-0.633232486135989,-0.458050682285462,-0.459283815746516,-0.349309814202967,-0.421518970712026,-0.418427111822085,-0.60067286615107,-0.458185795269972,-0.426362391259857,-0.395123520636311,-0.305531552745115,-0.455518472409121,-0.390001148892612,-0.421713652412385,-0.458548422565835,5.52224223239344,3.37131185662314,-0.167446005395058,-0.410022219736604
"10",-0.501694840146701,-0.471331904546441,-0.304798955456103,-0.115443933792693,-0.44226303882534,-0.512428584112267,7.18603702009727,-0.442842528958354,-0.441356683428147,0.691701983636929,2.30473364159548,2.93509742111628,-0.413880365473087,-0.30608455771196,-0.467278754421234,-0.41912656218434,-0.45141901664706,-0.472385395204482,-0.141722373014963,0.551016763634795,-0.375463141786912,-0.474386374875192
"11",-0.407060425072778,-0.264064371625233,-0.284327748961992,3.00273770154122,3.22447759875927,3.94746937161409,2.59950766532866,4.63885967881787,4.42139996918873,0.0554530525162439,-0.391521643432859,-0.397343541965402,-0.376263339594418,-0.28070514542146,-0.468340563453651,-0.409532026461602,-0.397462555195923,-0.436629728053023,-0.304849559093508,-0.361641241942454,-0.218298992443813,-0.363286123749968
"12",-0.506471012856582,-0.455550424911204,-0.278675572518008,-0.652002726424606,-0.454988409344249,-0.511848811180295,-0.396786103459738,-0.446656232601331,-0.446012430342173,-0.65696552408113,-0.523109422039649,-0.450065135990544,-0.400128752340308,-0.311035662678441,3.84304203063766,-0.411214635580201,-0.410525792925391,0.138079943856502,-0.33002139360298,-0.389967317680507,-0.393310975506993,-0.480864835012148
"13",-0.369049562854119,-0.399007887684336,-0.28026098078603,-0.630679502145858,-0.433041777838189,-0.485317939783426,-0.244327531459899,-0.426653193927491,-0.390702361326862,-0.551866237150602,-0.506107651981813,-0.250016532083041,-0.301685003895512,-0.300293295519296,3.67270252043415,-0.368301669826116,-0.412605765053072,1.83643081693557,-0.31453538422742,-0.340271786169778,-0.350015547963759,-0.416249774393563
"14",-0.473760746857923,-0.417388659694989,-0.266982015390051,-0.608150079064059,-0.414254622014452,-0.457666653784322,-0.357968540956572,-0.397873901281144,-0.431965756775701,-0.620442726722167,-0.419206810498733,-0.373067907007282,-0.360811860174017,-0.261641402054668,3.0339954973961,-0.425098708813456,-0.421983650640456,3.73663238418589,-0.294839604989091,-0.365404341753853,-0.0957364173544459,-0.409181664241569
"15",1.09732326908033,1.80892104558033,3.73181759272237,-0.533146352587293,-0.310467520509752,-0.485810935086079,-0.42476698859168,-0.345604080745321,-0.387794042647775,-0.658338551836105,-0.48549725507177,-0.457105730936272,-0.418530558307229,-0.334786823647914,-0.486529826727637,-0.365757145429446,-0.457730266947836,-0.487317194068701,-0.327184022164901,-0.389336587051656,-0.340664636007415,-0.452813194304013
"16",-0.520458221265328,-0.483220059051488,-0.310609897178919,0.327030001529819,-0.429257519370438,-0.183999509618667,-0.346984224441404,-0.455861381571152,-0.448664525586073,1.1826022715834,3.51361512498984,2.93509742111628,-0.424550850677421,-0.332548241160947,-0.485759085260536,-0.448071137959377,-0.453842706951173,-0.484881000436848,-0.332481758422261,-0.390098874960575,-0.424178629925849,-0.480690646372632
"17",-0.491383236037454,-0.410166885650795,-0.287220510257291,-0.656095779535009,-0.405609837958174,-0.503994674871368,-0.406945385083243,-0.441632227325865,-0.348507762036412,-0.297225226155375,-0.453478215847153,-0.446784530421985,2.70746884482587,3.1066587852818,-0.387080385614517,3.03679192581436,2.79245742427442,0.15839419142497,-0.139839251593729,-0.120231361666298,4.40926298880491,2.50946407571176
"18",-0.513001327513566,-0.479506850298059,-0.310530413025619,-0.666357129068506,-0.454317055715912,-0.521375108617133,-0.418146001998611,-0.45290332979014,-0.31494257399188,-0.656550899628036,-0.538585796632337,-0.460254028663361,-0.421186631421312,0.236758782137877,-0.426606535728727,-0.185476636691111,0.742510160260365,5.87944146582334,-0.332823117971744,-0.373990016346289,-0.407335196611148,-0.490885904571908
"19",-0.518334746957332,-0.466930968319275,-0.309129505204583,2.39025669468091,-0.414935299583875,0.376785462103735,0.213497604079145,-0.441392290639762,-0.412069570939079,3.62909941117352,2.67050801674832,1.25037940505879,-0.403375480079266,-0.314144792297838,1.75515250737939,-0.37668357805406,-0.443070726610598,0.849712511493354,-0.328334660969589,-0.281909503006726,-0.357784273584272,-0.478051051716165
"20",-0.501499728350732,-0.447892304534734,-0.301367975903172,3.18365568051069,3.45000589746941,2.93208268305584,2.15739196991828,4.33573937957569,2.72000127041164,2.01301750031497,-0.496830258358139,-0.435785893802167,-0.409419507268757,-0.319847826889909,-0.485013056829595,-0.449141109888361,-0.42938706036357,-0.462019601598361,-0.329456292922414,-0.390969217473717,-0.238768105268189,-0.457491461132966
"21",-0.489963856523662,-0.465898711417326,-0.298486137936875,-0.637952405821896,-0.426719865786672,-0.500956943750137,-0.40594110442897,-0.429522900686811,-0.424230785721173,0.483946149077621,-0.456862518546509,-0.453679340735389,7.18279968841889,-0.0279730474819987,-0.447648583884146,-0.272690150328363,-0.424858433278146,-0.464403934407428,-0.237753236974328,-0.298332727680553,-0.389567754445864,0.437246250237417
"22",-0.449560359991346,-0.40085825643405,-0.267201334755701,-0.616488725816891,-0.422155477537623,-0.460145835913488,-0.372008343205095,-0.396170862812055,-0.399226291907974,-0.456653327751677,-0.469535319206542,-0.427060342001211,2.07390227846657,-0.142402171984539,-0.381777871241235,-0.328751735275677,-0.378368884630682,-0.443530727220356,-0.201010498066808,-0.272315931672221,0.486631009030527,4.33023354183013
"23",1.56089350456652,2.19116456594931,-0.298927621733628,1.96026917068768,3.0119572239261,2.93208268305584,1.39488006955347,2.00533614139577,3.90896891131968,0.0966884814336842,-0.355309339185829,2.00069763338875,-0.347556634032188,-0.308186728508262,-0.473001679646876,-0.403946146749981,-0.406528632767532,-0.466235856071167,-0.291863553858685,-0.325606379427733,0.0841570696039097,0.452607891621877
"24",-0.481026857718066,-0.438437883012535,-0.300903411637441,1.01526305161818,-0.348943689830947,0.633470882384321,-0.020891682105362,-0.425939080414683,-0.375336333261661,2.5288264605454,2.00336414698122,2.8097339902239,-0.395916211836462,-0.315213184373261,-0.473876959892276,-0.432185264429161,-0.433151359959685,-0.462812262416317,-0.32753026900534,-0.381686430811521,-0.393843375854761,-0.442832672550965
"25",-0.466385009985269,-0.385990564207626,-0.296324557553796,3.39749765503271,4.65628475121755,4.6835535594316,0.253404709156053,0.317936385302698,-0.328175556405218,-0.185255934522862,-0.327447707013917,-0.421450503010226,-0.387930500012169,0.780973437516349,-0.200623846875446,-0.426853416278476,0.168679929306468,1.11566052193642,-0.330329525573657,-0.338280587132616,-0.343912481163128,-0.371558895060261
"26",-0.512757518837207,-0.476116622288428,-0.296012584861904,-0.636691105320631,-0.432929524980382,-0.483205486397687,-0.300105750864489,-0.417109676006145,-0.388850250958626,-0.631999281588299,-0.504296270984813,-0.410149444359333,-0.419744633366017,-0.2665077022861,1.78895248058506,-0.418484643520397,-0.164502399198213,4.31679828358709,-0.320928300769544,-0.371269075790276,-0.299999645385225,-0.445270157330216
"27",-0.0959536261202511,-0.0565447359548369,-0.199713625431036,0.398732924373822,-0.249785963038749,0.332003733441885,2.19405159170274,1.38553325577691,2.70537843166095,1.80262922404316,2.81737970566786,2.34208135711857,-0.347402134929619,-0.271397213223517,-0.458938568869019,-0.40031118425931,-0.388343901314334,-0.41395254317263,-0.2670664114266,-0.318576209793,-0.338351368878772,-0.31874537269358
"28",-0.406388992191629,-0.280862104500316,-0.242984395864527,1.71763408838008,2.80545225279574,2.404737893784,0.712001146532535,3.7534713929622,4.50568077389533,0.538728396496917,0.299234670077957,-0.0591716992962477,-0.409480521878436,-0.323692334499359,-0.458736758065203,-0.413029538372609,-0.405194551656633,-0.459310628244107,-0.314163831790429,-0.385125518060082,-0.297367210486514,-0.469723143935539
"29",-0.502381569567876,-0.458739640425918,-0.292122134627994,-0.63887084171168,-0.436576686340725,-0.489317121891591,-0.370548959404313,-0.450120996001254,-0.437643988831057,-0.658007028727473,-0.530400286380688,-0.459411464552123,-0.39973694622291,-0.313453690554536,-0.44913227268979,-0.37276416004102,-0.435431316359939,-0.470810205275192,3.61053314047915,3.12712712005527,-0.384535192596007,-0.490933806981713
"30",-0.434795943986744,-0.444016692575425,-0.296991632045713,-0.625061573910866,-0.448533570145318,-0.490860962996893,-0.390989192975341,-0.442822328932675,-0.403871423260381,-0.561378536865495,-0.451358120100239,-0.417340722621839,-0.326842549130057,-0.279808475427389,-0.467972676215486,-0.405565298633065,-0.41409290479301,-0.463553069407969,-0.277733721718979,-0.372355667172614,-0.352824962164401,4.31317135069533
"31",-0.481261767034316,-0.43681233865262,-0.29634408079984,-0.650369234785967,-0.441534458357689,-0.476909851122652,-0.395742212099018,-0.444699575724885,-0.399917371705714,-0.634971298667391,-0.510477177632789,-0.449789639361899,-0.420257997910292,-0.283445119979955,-0.479842038954246,-0.410728638371393,-0.403349628847694,-0.463547917494289,4.16965733595902,2.59822639766508,-0.368352674139616,-0.463060705466806
"32",-0.458476897238442,-0.428136763161061,-0.292022817559561,-0.64831630207308,-0.459010144361747,-0.497632369353213,-0.363916676549714,-0.43576107991634,-0.445131285095979,-0.585739342874034,-0.44853158605237,-0.436654688275858,-0.407533309929758,-0.320956205752797,-0.458308589440418,-0.400481101945456,-0.431541205681953,-0.468257906291315,0.473590106515547,0.129211007070627,5.97498869244727,0.303524219248158
"33",3.11734609294842,3.37555964220137,-0.26018608892797,-0.580669768116921,-0.450958067519648,-0.465752030006548,-0.384412895130282,-0.430615276229096,-0.386688933116558,-0.548130976457714,-0.50755808818937,-0.445530930582094,-0.39678715521973,-0.329160282292014,-0.475901749742739,-0.433354425563924,-0.441532469097959,-0.464151529651629,-0.321271136322001,-0.38441361864327,-0.260576282052821,-0.453356005343909
"34",-0.516335478788228,-0.425425747213417,-0.312512505476811,-0.65918273987802,-0.462245754112694,-0.526888428881059,-0.426343743140056,-0.455648320351972,-0.445190652904501,-0.176620919279998,-0.396241203050612,-0.42736035575967,2.49460573096206,0.237948468615195,0.0459515864278642,0.114467997418614,0.86987280587133,-0.0502663124509164,0.108287483163526,-0.177534403209273,0.329025891681647,3.44822692586743
"35",-0.517509804274934,-0.474565012977877,-0.30441959351838,0.802760230979599,1.38248393602621,1.0036161967433,0.319714894012103,0.88465479510461,1.97702465880462,1.39125628011839,2.45811074217187,1.74355080201465,-0.420635700579182,-0.330931050815914,-0.484890651836548,-0.427993376075767,-0.447626139496556,-0.482610267883102,-0.311292020729001,-0.375425598444292,-0.319596591928386,-0.49090144808226
"36",1.65341789084051,0.0718253045679386,2.51773943459681,-0.656094483053235,-0.431738157360834,-0.521875751286145,-0.420561338049898,-0.424715438104349,-0.447666076328554,-0.655632705582046,-0.53752950744345,-0.468358600249897,-0.416764057455426,-0.326361479170367,-0.475471117804799,-0.420533594443593,-0.437488756006318,-0.477640263949868,-0.331149497792556,-0.388131997268287,-0.368114976905437,-0.487507695473586
"37",-0.504527657125202,-0.46849638545909,-0.299671275887272,0.134711633999953,-0.390655758504098,-0.304205140492881,-0.259108587505366,-0.365239635183981,-0.4236365051835,3.38161041872717,1.46951371269626,1.1972275019986,-0.414059468629496,-0.329568138678848,-0.485504713365737,-0.445481928324168,-0.446761686737206,-0.483034765890232,-0.286665356462292,-0.357957265840491,-0.390170748961774,-0.473024489560348
"38",0.244719375465521,-0.0579750430856916,-0.286052597485355,0.686418763565493,1.84175864880387,0.246960941315461,0.572377148917007,0.0118927284676353,1.1274906493684,-0.55135805516856,-0.418224357436631,-0.40080522773345,-0.387437401078874,-0.263995833100139,1.82231181079477,-0.415263213421148,-0.375609145528569,2.43744393178195,-0.324094968644754,-0.379498803779789,-0.27415703131549,-0.435616875838707
"39",-0.520865086523303,-0.484144062990944,-0.312151048023738,1.64174944855614,-0.436705369038988,-0.333501301787671,-0.0994526514316371,-0.457148094133371,-0.45012556236959,1.60645867626916,2.05010662036306,1.66532693793055,-0.420793930294709,-0.3351095243392,-0.459571152140082,-0.450864312954481,-0.458921729112013,-0.487945507292231,-0.248965435678726,-0.296591920073676,-0.42424162024276,-0.499032381457274
"40",-0.520159155786329,-0.482686165247487,-0.31199440693637,-0.669523673842397,-0.460713205811148,-0.526086568334406,-0.386620578183961,-0.456121140049716,-0.413810523364182,-0.659846246747375,-0.541737225510749,-0.469067025813746,-0.426454625902259,-0.333293801091776,2.23090032369946,-0.358319127188465,-0.455462975782626,0.847455460350951,-0.336046939607929,-0.370440650875,-0.427795094596438,-0.49932768487564
"41",-0.437865535083716,-0.395926783248651,-0.262662117692412,1.51915195064726,1.63551881619638,2.23155393589776,2.29942784985516,3.10316226102254,2.34705734177582,0.664450348535067,0.621305102670001,-0.0174045519452858,-0.372845610991158,-0.303215462036879,-0.473491499784448,-0.39568586968963,-0.405634623109348,-0.459052706080934,-0.269002152563493,-0.369831183041008,-0.282110437652675,-0.40054443126808
"42",-0.498209879309559,-0.433105006661262,-0.307919770600222,1.68933304369883,-0.381324806898293,2.36048140443353,-0.254320582094092,0.675612329451866,-0.140293220571821,2.17948471236654,1.87227498316687,0.34608951315886,-0.406593189760124,-0.330324665325898,-0.484030392683489,-0.448748666175357,-0.432712316312757,-0.48168087395419,-0.330137729233291,-0.381034349584579,-0.363559105493842,-0.444974308139085
"43",-0.468356860634351,-0.429002559655661,-0.294308077206818,-0.651019284255982,-0.455029311109232,-0.502245243421432,-0.400480265040014,-0.442948948482525,-0.421831480542417,-0.628517529717872,-0.520526950942531,-0.450159197466365,-0.37001491321012,-0.259822870689871,2.06496828662119,-0.354018246745095,-0.388614737514287,1.32695614871895,-0.285441322904697,-0.00784253118249294,-0.381163829327362,0.103529657656847
"44",1.7119017977646,1.28183710196335,-0.262791441281505,1.31447732302084,2.1086183984738,1.51834296237947,0.449773937064983,0.602237737193398,0.83437424257486,1.7187054901737,0.526885570038798,-0.238324781030716,1.42049422256805,-0.313333742955898,-0.457316229982823,-0.365605511376598,-0.424790063927437,-0.461036104365472,-0.26457630265297,-0.34452069599688,0.292162217359727,1.89742161079514
"45",-0.512850782702671,-0.459413931479276,2.37656950706566,-0.661320216533809,-0.446232315703195,-0.526552800590707,-0.420360508713209,-0.454467382398922,-0.438407323831169,-0.647669781308526,-0.539547176024246,-0.467702868281453,-0.423296844210632,-0.331295790146065,-0.484425791431827,-0.442580156582226,-0.453596868430095,-0.484683178775238,-0.331523968195653,-0.388223904512757,-0.417440700556304,-0.496151976120167
