"\",\"Y","predictedY","Pearson Correlation","rounded Correlation"
"1",-0.285025527930434,-0.281981147718977,0.701463013979003,0.701
"2",-0.498604283997921,-0.31068199188179,0.701463013979003,0.701
"3",-0.486769034182152,-0.228167570059394,0.701463013979003,0.701
"4",-0.44462218678311,-0.219131830188711,0.701463013979003,0.701
"5",-0.420861700895389,-0.679404630443115,0.701463013979003,0.701
"6",-0.012191113876345,-0.214459454172566,0.701463013979003,0.701
"7",-0.482862008525629,-0.741772328849887,0.701463013979003,0.701
"8",0.467357351652997,-0.16669778885328,0.701463013979003,0.701
"9",-0.132677270653989,-0.385419793038334,0.701463013979003,0.701
"10",-0.132820301354553,-0.391461526161077,0.701463013979003,0.701
"11",-0.467763373549508,-0.726934116620452,0.701463013979003,0.701
"12",-0.090412074790424,-0.34949850341378,0.701463013979003,0.701
"13",0.121275084937575,0.332812423759197,0.701463013979003,0.701
"14",0.158292906893841,-0.283180960121694,0.701463013979003,0.701
"15",-0.432422087818141,-0.27517809890649,0.701463013979003,0.701
"16",-0.068405893613585,-0.258219494431625,0.701463013979003,0.701
"17",-0.0126110337263993,0.24646361707072,0.701463013979003,0.701
"18",-0.487408713389266,-0.297883651543426,0.701463013979003,0.701
"19",-0.157210820242455,-0.196195565995065,0.701463013979003,0.701
"20",-0.205521152210066,-0.248944447665519,0.701463013979003,0.701
"21",0.715555073806706,0.456600798776161,0.701463013979003,0.701
"22",0.395834879151626,0.113454507151676,0.701463013979003,0.701
"23",-0.498368153993661,-0.287740186834224,0.701463013979003,0.701
"24",-0.253048467149038,-0.0175130608217379,0.701463013979003,0.701
"25",-0.488487262714148,-0.135153059139508,0.701463013979003,0.701
"26",-0.477839383335363,-0.54606402260087,0.701463013979003,0.701
"27",-0.481352890901294,-0.208433610213955,0.701463013979003,0.701
"28",-0.451047143179161,-0.274464278500044,0.701463013979003,0.701
"29",0.50739323562306,-0.151843614263566,0.701463013979003,0.701
"30",-0.385483748502799,-0.1267564415548,0.701463013979003,0.701
"31",-0.513477279329024,-0.254619511546092,0.701463013979003,0.701
"32",-0.47715800639847,-0.229640990871854,0.701463013979003,0.701
"33",0.510437849865629,0.769580114724764,0.701463013979003,0.701
"34",0.733573017704961,0.474556545127998,0.701463013979003,0.701
"35",-0.500600979598916,-0.216154640056356,0.701463013979003,0.701
"36",0.8895745284121,-0.229307505897804,0.701463013979003,0.701
"37",0.250890233203742,-0.221244668249209,0.701463013979003,0.701
"38",-0.279790103964589,-0.51929966262848,0.701463013979003,0.701
"39",-0.369475460317402,-0.628625594008735,0.701463013979003,0.701
"40",-0.513517048782346,-0.254646758011187,0.701463013979003,0.701
"41",-0.315635209702862,-0.198475257243938,0.701463013979003,0.701
"42",0.435805207670149,-0.0387617301415268,0.701463013979003,0.701
"43",-0.234296633615558,-0.186979669910368,0.701463013979003,0.701
"44",-0.331835440044756,-0.251583557735426,0.701463013979003,0.701
"45",-0.443256217105633,-0.00332517496165602,0.701463013979003,0.701
"46",0.0857014168971552,-0.293950810805892,0.701463013979003,0.701
"47",-0.527559148120367,-0.26907830389494,0.701463013979003,0.701
"48",-0.411941679429866,-0.285548040262977,0.701463013979003,0.701
"49",-0.526970379326377,-0.267952290937341,0.701463013979003,0.701
"50",-0.076660619051744,0.18186823113577,0.701463013979003,0.701
"51",-0.234008426982224,-0.281830682164934,0.701463013979003,0.701
"52",0.07199172291792,-0.222568399248995,0.701463013979003,0.701
"53",-0.221656607934234,-0.399099501473056,0.701463013979003,0.701
"54",-0.516853050485241,-0.240141216843039,0.701463013979003,0.701
"55",-0.526078841259537,-0.295716196517627,0.701463013979003,0.701
"56",-0.373202946217406,-0.114165596375056,0.701463013979003,0.701
"57",-0.502797950619812,-0.243849838409869,0.701463013979003,0.701
"58",-0.531512620361422,-0.272503161694924,0.701463013979003,0.701
"59",-0.532593112000314,-0.273710609699645,0.701463013979003,0.701
"60",-0.339726434472865,-0.598754596337972,0.701463013979003,0.701
"61",-0.425356202549533,-0.166291062844147,0.701463013979003,0.701
"62",-0.38493657641993,-0.126102886928901,0.701463013979003,0.701
"63",-0.412384090720299,-0.15336264267359,0.701463013979003,0.701
"64",0.598650467335993,0.339596891359509,0.701463013979003,0.701
"65",-0.378876838998343,-0.12004139797168,0.701463013979003,0.701
"66",-0.330304295407256,-0.0710387159322489,0.701463013979003,0.701
"67",-0.46790346674874,-0.209260042301377,0.701463013979003,0.701
"68",2.18274338430377,1.27853321406637,0.701463013979003,0.701
"69",1.33222489848965,1.07337693713898,0.701463013979003,0.701
"70",-0.492185841187914,-0.338484255601809,0.701463013979003,0.701
"71",-0.313681947695845,-0.146977585089001,0.701463013979003,0.701
"72",0.0404001966903036,-0.2187052292774,0.701463013979003,0.701
"73",-0.383156698876362,-0.124325395063419,0.701463013979003,0.701
"74",-0.0295737898259682,-0.240151488505585,0.701463013979003,0.701
