"\",\"Y","predictedY","Pearson Correlation","rounded Correlation"
"1",-0.1476762520564,-0.28528411537382,0.593905080474998,0.594
"2",-0.612011460688494,-0.321425307012369,0.593905080474998,0.594
"3",-0.571273385531703,-0.216029205936757,0.593905080474998,0.594
"4",-0.610488077083887,-0.293075542500084,0.593905080474998,0.594
"5",-0.606624639389995,-0.257854619784439,0.593905080474998,0.594
"6",-0.329849093825865,-0.221800453200437,0.593905080474998,0.594
"7",-0.501932041212753,-0.153026418079335,0.593905080474998,0.594
"8",2.12248388180106,-0.185119774243468,0.593905080474998,0.594
"9",-0.46230562362978,-0.81064110785622,0.593905080474998,0.594
"10",0.987865767376471,0.639530236130823,0.593905080474998,0.594
"11",-0.537505898636853,-0.886212105975211,0.593905080474998,0.594
"12",0.40169245975203,0.052934665883505,0.593905080474998,0.594
"13",2.43434271940977,2.0856957927322,0.593905080474998,0.594
"14",-0.117270493379148,-0.466152828749692,0.593905080474998,0.594
"15",-0.335762758206294,-0.289055302432154,0.593905080474998,0.594
"16",0.2558761358495,-0.0926304393701047,0.593905080474998,0.594
"17",-0.554883708955428,-0.206456506471888,0.593905080474998,0.594
"18",-0.620277909756552,-0.271676480304834,0.593905080474998,0.594
"19",-0.365569390569279,-0.0170385757218201,0.593905080474998,0.594
"20",1.09140854114375,-0.401488713693517,0.593905080474998,0.594
"21",0.286564258818537,0.635581348528507,0.593905080474998,0.594
"22",0.540221708346594,0.046505679191746,0.593905080474998,0.594
"23",-0.541084716049684,-0.295126719874354,0.593905080474998,0.594
"24",2.71909702928207,-0.0869508261139844,0.593905080474998,0.594
"25",-0.39956654620952,-0.0823054354265979,0.593905080474998,0.594
"26",-0.484458813151942,-0.136053899088175,0.593905080474998,0.594
"27",-0.559151471970844,0.0769515199158446,0.593905080474998,0.594
"28",-0.504018750523595,-0.276007830463236,0.593905080474998,0.594
"29",-0.28649363477809,0.0137306041652818,0.593905080474998,0.594
"30",-0.16392174304339,0.0769358633569579,0.593905080474998,0.594
"31",-0.628843031998506,-0.280232213514303,0.593905080474998,0.594
"32",-0.456428822061451,-0.246906233373217,0.593905080474998,0.594
"33",-0.506806713743393,-0.516198219020122,0.593905080474998,0.594
"34",-0.486511479425197,-0.736722526590304,0.593905080474998,0.594
"35",-0.594574324268022,-0.246231152796504,0.593905080474998,0.594
"36",-0.31718047354732,-0.214044674425104,0.593905080474998,0.594
"37",3.9700426895663,-0.230851247844562,0.593905080474998,0.594
"38",-0.521510812234946,-0.17294688655263,0.593905080474998,0.594
"39",-0.579653994890344,-0.230985178493384,0.593905080474998,0.594
"40",-0.616902507610528,-0.268067676285391,0.593905080474998,0.594
"41",-0.299116244162698,0.0493668829054383,0.593905080474998,0.594
"42",0.509588628890544,0.0298249759591938,0.593905080474998,0.594
"43",-0.62619096309505,-0.277443394739457,0.593905080474998,0.594
"44",0.0697464417670001,-0.263119275544533,0.593905080474998,0.594
"45",-0.457377477808626,0.113418580693057,0.593905080474998,0.594
"46",-0.230239155397407,-0.26437730384081,0.593905080474998,0.594
"47",-0.627581899568149,-0.376923446726146,0.593905080474998,0.594
"48",-0.180792526373343,0.167990398580848,0.593905080474998,0.594
"49",-0.428464771742183,-0.0794725893550565,0.593905080474998,0.594
"50",-0.544795088351536,-0.195846288722692,0.593905080474998,0.594
"51",0.205269104023845,-0.233710930185915,0.593905080474998,0.594
"52",1.95495542363402,-0.231065240442526,0.593905080474998,0.594
"53",2.63898004328825,-0.000538480501554015,0.593905080474998,0.594
"54",-0.518661783309636,-0.271330239984387,0.593905080474998,0.594
"55",-0.610577862117352,-0.281482384401606,0.593905080474998,0.594
"56",-0.202116006286628,-0.0486992107223403,0.593905080474998,0.594
"57",-0.484293971403899,-0.135735159234976,0.593905080474998,0.594
"58",-0.614410127251781,-0.0666310704919583,0.593905080474998,0.594
"59",-0.537497554508208,-0.188957263974494,0.593905080474998,0.594
"60",0.631456053403875,0.980131391406059,0.593905080474998,0.594
"61",-0.179567833570128,-0.528087039545338,0.593905080474998,0.594
"62",-0.0643248252990194,0.2844545681832,0.593905080474998,0.594
"63",1.07569647305486,0.727539982186982,0.593905080474998,0.594
"64",2.19798359575124,1.84913671616518,0.593905080474998,0.594
"65",-0.157594983795375,-0.182234471255564,0.593905080474998,0.594
"66",1.30403163039375,0.955070091030023,0.593905080474998,0.594
"67",0.140387036104401,-0.114085912188948,0.593905080474998,0.594
"68",5.96015390700894,1.83991363194654,0.593905080474998,0.594
"69",2.51368201575432,2.16518299437102,0.593905080474998,0.594
"70",-0.483057945477123,-0.318632615033714,0.593905080474998,0.594
"71",0.198121070112037,0.257585716713187,0.593905080474998,0.594
"72",-0.227008172445193,-0.197461517313222,0.593905080474998,0.594
"73",-0.570139549154822,-0.475900644178346,0.593905080474998,0.594
"74",-0.426103323862845,-0.280115856559483,0.593905080474998,0.594
"75",0.482148978673149,0.830846555921752,0.593905080474998,0.594
"76",-0.0205681746772882,0.11730657355222,0.593905080474998,0.594
"77",-0.598724980771856,-0.250142403959807,0.593905080474998,0.594
"78",1.83147042261703,1.22174703288149,0.593905080474998,0.594
"79",-0.343520139255481,-0.332852696564158,0.593905080474998,0.594
"80",-0.277730569633954,-0.19217122903423,0.593905080474998,0.594
"81",-0.471546658726021,-0.122816951215981,0.593905080474998,0.594
"82",0.672122237410665,0.349243952404045,0.593905080474998,0.594
"83",0.747871218820531,0.39945671347693,0.593905080474998,0.594
"84",0.171790619191593,0.244732019430402,0.593905080474998,0.594
"85",-0.499321097002016,-0.471684390582006,0.593905080474998,0.594
